Time (Seconds),r_shoulder_top_x,r_shoulder_top_y,r_shoulder_top_z,r_elbow_out_x,r_elbow_out_y,r_elbow_out_z,r_wrist_out_x,r_wrist_out_y,r_wrist_out_z
1.442,-784.835022,1397.013062,-195.540421,-920.463745,1028.739502,-216.591568,-935.842468,882.622742,-95.713097
1.45,-778.329773,1398.679443,-191.442719,-913.985718,1030.705322,-211.566589,-928.655151,884.149292,-90.219345
1.458,-772.141235,1400.245728,-187.366989,-907.611023,1032.491455,-206.316544,-921.565918,885.651855,-84.583855
1.467,-765.97168,1401.710205,-183.349289,-901.377075,1033.561279,-200.691162,-914.624512,887.048889,-78.799881
1.475,-759.923767,1403.055298,-179.337616,-895.096436,1034.679565,-194.847641,-907.671204,888.384521,-72.780479
1.483,-754.172485,1404.277832,-175.388474,-889.266418,1035.980835,-189.114975,-900.711426,889.633911,-66.662041
1.492,-748.320251,1405.478027,-171.548859,-883.688599,1037.158569,-183.225586,-893.925903,890.847534,-60.323963
1.5,-742.775696,1406.450195,-167.468018,-877.858948,1037.986328,-176.964462,-887.186829,892.082458,-53.845558
1.508,-737.049438,1407.471191,-163.679001,-872.473816,1038.851685,-170.919983,-880.4953,893.416199,-47.033466
1.517,-732.057373,1408.372681,-159.659668,-867.236389,1039.808716,-164.952148,-873.944885,894.666016,-40.271851
1.525,-726.64563,1409.178101,-155.704437,-862.090698,1040.642822,-159.000763,-867.539307,895.92395,-33.577496
1.533,-721.301697,1410.012573,-151.786163,-857.039124,1041.563232,-153.014145,-861.256714,897.013916,-26.971109
1.542,-716.00708,1410.692871,-147.887131,-852.037292,1042.377075,-146.921509,-855.334412,898.256958,-20.57016
1.55,-710.727661,1411.462646,-144.035156,-847.085144,1043.157471,-140.954086,-849.142517,899.953979,-13.485483
1.558,-705.421936,1412.267822,-140.235825,-842.012268,1043.840332,-134.879669,-843.142151,901.44458,-6.537773
1.567,-700.197693,1413.009399,-136.340729,-837.037903,1044.595337,-128.78064,-837.29071,902.946716,0.186995
1.575,-695.026001,1413.750366,-132.425766,-832.147644,1045.463013,-122.678368,-831.476257,904.406006,6.774433
1.583,-689.875183,1414.601807,-128.664215,-827.207947,1046.279541,-116.667702,-825.757996,905.891968,13.346825
1.592,-685.000916,1415.243164,-124.796349,-822.266479,1047.007935,-110.582825,-820.145203,907.363586,19.855473
1.6,-679.764893,1415.907837,-121.040649,-817.516785,1047.912231,-104.614998,-814.71875,908.813354,26.441986
1.608,-674.797668,1416.5802,-117.19574,-812.558411,1048.596069,-98.524605,-809.30011,910.203003,32.983402
1.617,-668.705811,1417.223633,-114.510773,-807.775391,1049.437378,-92.534508,-803.908386,911.557739,39.549
1.625,-664.003784,1417.694946,-110.270615,-802.839294,1050.028687,-86.461807,-798.672974,912.807129,46.068157
1.633,-658.999451,1418.122681,-106.43013,-797.961975,1050.694336,-80.456352,-793.584961,914.092651,52.560955
1.642,-654.071594,1418.438477,-102.507553,-793.063293,1051.209351,-74.41114,-788.457642,915.280273,59.094311
1.65,-649.165894,1418.776611,-98.325203,-788.256592,1051.793213,-68.596817,-783.330872,916.298096,65.552269
1.658,-644.989685,1419.057007,-93.466339,-783.331543,1052.253906,-62.621922,-778.146301,917.289124,71.888916
1.667,-639.17511,1419.296875,-89.907654,-778.387878,1052.635254,-56.555161,-773.036987,918.197327,78.164612
1.675,-634.686401,1419.481934,-85.125031,-773.49762,1052.915771,-50.614262,-767.882751,918.956116,84.255875
1.683,-629.773987,1419.537476,-80.721458,-768.599976,1053.20105,-44.651043,-762.725891,919.699036,90.513214
1.692,-624.524353,1419.519531,-76.408241,-763.744629,1053.474487,-38.792912,-757.57312,920.460327,96.694962
1.7,-619.574768,1419.507812,-71.988731,-758.878723,1053.840088,-33.034393,-752.427002,920.825928,102.539917
1.708,-614.27887,1419.402344,-67.460533,-753.99762,1053.982666,-27.102304,-747.167236,921.346313,108.893089
1.717,-608.920898,1419.320312,-62.996918,-749.049438,1054.057373,-21.156712,-741.936829,921.692261,114.767097
1.725,-603.872864,1419.036499,-58.277065,-744.195618,1054.136841,-15.435309,-736.676331,922.043274,120.649117
1.733,-598.536438,1418.731201,-53.692356,-739.283752,1054.293701,-9.627166,-731.341492,922.166443,126.469986
1.742,-593.141602,1418.44165,-48.962299,-734.361389,1054.286011,-3.99015,-725.97229,922.110596,132.068893
1.75,-587.760925,1418.05896,-44.280907,-729.454407,1054.130981,1.777001,-720.485168,922.233276,137.952408
1.758,-582.596313,1417.642456,-39.49015,-724.506714,1054.069946,7.421273,-715.115784,922.145081,143.532288
1.767,-577.186096,1417.092773,-34.673306,-719.46344,1053.816772,12.998823,-709.585449,921.7229,148.986252
1.775,-571.760803,1416.486084,-29.869307,-714.509399,1053.452148,18.643181,-704.040344,921.350586,154.341446
1.783,-566.59436,1415.841675,-24.919346,-709.411865,1053.049683,24.071117,-698.443909,920.864258,159.660034
1.792,-561.69043,1415.227539,-19.572208,-704.202454,1052.538208,29.612719,-692.848267,920.267456,164.955261
1.8,-556.228577,1414.471558,-14.787107,-698.989075,1051.833496,35.03083,-687.250427,919.460144,170.20076
1.808,-550.781006,1413.60022,-9.793473,-693.84082,1051.175415,40.403389,-681.591858,918.332092,175.415833
1.817,-545.823181,1412.819336,-4.594327,-688.536926,1050.312866,45.719669,-675.841492,917.348022,180.492218
1.825,-540.400146,1411.509644,0.483955,-683.30542,1049.434448,50.923145,-670.124634,916.077698,185.537628
1.833,-534.997498,1410.555542,5.643621,-677.682861,1048.420288,56.262352,-664.318909,914.839478,190.412506
1.842,-529.666992,1409.663208,10.782112,-672.350281,1047.454346,61.384468,-658.476013,913.411499,195.285721
1.85,-524.130737,1408.405273,16.01811,-666.568848,1045.983398,66.545708,-652.673523,911.898132,200.094528
1.858,-519.188232,1407.337158,21.430532,-661.211426,1044.786133,71.593704,-646.729919,910.323547,204.865189
1.867,-513.843811,1405.927856,26.801493,-655.7901,1043.2948,76.39875,-640.681091,908.374573,209.524673
1.875,-508.373199,1404.25647,32.229256,-650.162903,1041.740479,81.534286,-634.481018,906.436829,214.157074
1.883,-503.070343,1403.13208,37.713177,-644.654236,1040.111206,86.512115,-628.25293,904.436523,218.679382
1.892,-497.57608,1401.644043,43.306862,-638.827393,1038.508667,91.573647,-622.140564,902.44519,223.352036
1.9,-491.990692,1400.61377,48.839375,-632.98938,1036.713501,96.818626,-616.002869,900.364685,228.139252
1.908,-487.419495,1399.134033,54.816029,-627.150269,1035.108765,101.795479,-609.83844,898.333801,232.74585
1.917,-481.668121,1397.674072,60.476208,-621.261963,1033.342407,106.921982,-603.489197,896.194946,237.359299
1.925,-476.472839,1396.029663,66.461395,-615.342468,1031.608154,112.017761,-597.099548,893.898926,241.905151
1.933,-471.077026,1394.599243,72.353279,-609.288086,1029.793457,117.233932,-590.796936,891.562134,246.531418
